Балансовий прибуток;грн.;Дніпрянка;36778.70;91621.20;89377.60;52598.90000000001;2.4301457093371983;-2243.5999999999913;0.9755122176963411
Балансовий прибуток;грн.;Універсам 22;1815.50;32013.00;25584.00;23768.5;14.091985678876343;-6429.0;0.799175335020148
Валовий дохід;грн.;Дніпрянка;231711.50;288496.70;553434.90;321723.4;2.38846539770361;264938.2;1.9183404870835612
Валовий дохід;грн.;Універсам 22;6612.00;86523.80;91429.00;84817.0;13.82773744706594;4905.199999999997;1.0566919159814987
Витрати обігу;грн;Дніпрянка;199979.40;201597.40;469761.10;269781.69999999995;2.3490474518875444;268163.69999999995;2.3301942386161727
Витрати обігу;грн;Універсам 22;5026.40;35922.00;51211.00;46184.6;10.188405220436097;15289.0;1.4256166137742887
Рівень валового доходу;%;Дніпрянка;8.30;17.30;19.30;11.0;2.325301204819277;2.0;1.115606936416185
Рівень валового доходу;%;Універсам 22;8.35;17.80;19.68;11.33;2.3568862275449103;1.879999999999999;1.1056179775280899
Рівень витрат обігу;%;Дніпрянка;7.20;12.10;16.40;9.2;2.2777777777777777;4.299999999999999;1.3553719008264462
Рівень витрат обігу;%;Універсам 22;6.35;7.39;11.02;4.67;1.7354330708661418;3.63;1.4912043301759135
Рівень рентабельності;%;Дніпрянка;1.30;5.50;3.10;1.8;2.3846153846153846;-2.4;0.5636363636363636
Рівень рентабельності;%;Універсам 22;2.00;6.52;5.38;3.38;2.69;-1.1399999999999997;0.8251533742331288
Товарообіг;грн.;Дніпрянка;2797552.00;1665429.00;2861819.00;64267.0;1.0229725846025381;1196390.0;1.7183674596755552
Товарообіг;грн.;Універсам 22;79280.50;486088.80;464588.0;385307.5;5.8600538593979605;-21500.79999999999;0.9557677527233708
